# Temporary.  List of images names, the storage account sub-path for each one, and the list of storage accounts that,,,,,
# contain the image.,,,,,,,
# Format:,,,,,,,
# Image Name,Labels,Storage Account Sub Path,Semi-colon delimited list of storage accounts, or All for all storage accounts in StorageAccounts.txt,,,
ImageName,Labels,OSType,Container,BlobName,StorageAccounts,StartupScriptPath,AgentWorkspace
ubuntu1604-20170925,ubuntu1604-20170925,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1604-20170925-osDisk.b5a4de2d-a4f0-45dd-8da3-143cbbf36d4d.vhd,All,./startupScripts/ubuntu1604-20170925.sh,/mnt/j
ubuntu1604-20170925-outer,ubuntu1604-20170925-outer,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1604-20170925-osDisk.b5a4de2d-a4f0-45dd-8da3-143cbbf36d4d.vhd,All,./startupScripts/ubuntu1604-20170925-outer.sh,/mnt/j
ubuntu1610-20170216,ubuntu1610-20170216,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1610-20170830-osDisk.b5133ea4-898f-4344-869f-3b5eda534480.vhd,All,./startupScripts/ubuntu1610-20170216.sh,/mnt/j
ubuntu1610-20170216,ubuntu1610-20170216,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1610-20170830-osDisk.b5133ea4-898f-4344-869f-3b5eda534480.vhd,All,./startupScripts/ubuntu1610-20170216.sh,/mnt/j
ubuntu1610-20170925,ubuntu1610-20170925,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1610-20170925-osDisk.a51e7ef8-7bb6-4e8b-a108-c5269a099c3d.vhd,All,./startupScripts/ubuntu1610-20170925.sh,/mnt/j
ubuntu1610-20170925-outer,ubuntu1610-20170925-outer,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1610-20170925-osDisk.a51e7ef8-7bb6-4e8b-a108-c5269a099c3d.vhd,All,./startupScripts/ubuntu1610-20170925-outer.sh,/mnt/j
win2008-20170303,win2008-20170303,Windows,system,Microsoft.Compute/Images/dotnetci/win2008-20170926-osDisk.a5bb54b1-8eb5-4c5e-824f-492bead4c0be.vhd,All,./startupScripts/win2008-20170302.ps1,D:\j
win2012-20160707,auto-win2012-20160707,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170906-osDisk.ab91b62e-6318-42d7-80b8-4382397ef949.vhd,All,./startupScripts/win2012-20160707.ps1,D:\j
win2012-20160707-internal,auto-win2012-20160707-internal,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170906-osDisk.ab91b62e-6318-42d7-80b8-4382397ef949.vhd,All,./startupScripts/win2012-20160707-internal.ps1,D:\j
win2012-20170608,win2012-20170608,Windows,system,Microsoft.Compute/Images/dotnetci/win2012-20170901-osDisk.c590a93c-feff-426f-b9c4-4e9f016bbd79.vhd,All,./startupScripts/win2012-20170608.ps1,D:\j
